Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
23	1670.5	136.13321	1755.0	1435.0	13.5	23.382687	54.0	0.0	990.25	147.54932	37.583855	162.86739	-95.59238	96000	-7.510185e-09	604.05225	-0.014636368	-529.52167	1.0375938	0.0072915726	0.07375	79.0	90.72432661056519
24	1604.75	263.2227	1767.0	1149.0	1.75	3.0310888	7.0	0.0	933.0	166.9236	17.397577	170.62033	25.13153	100000	2.6404859e-08	1255.5961	-0.013462599	-387.0597	1.0193423	0.008474363	0.05875	79.0	117.97348928451538
25	1622.5	210.55463	1751.0	1258.0	16.75	29.01185	67.0	0.0	971.5	167.26147	11.983685	168.86406	27.610952	104000	4.649162e-09	1261.5573	-0.007198246	-1061.2135	1.0226499	0.015038906	0.16275	4.0	121.00839948654175
26	1448.5	531.4741	1762.0	528.0	9.0	15.588457	36.0	0.0	850.75	157.15002	41.6631	171.38156	-76.48959	108000	1.7642975e-08	564.1678	-0.0012328061	-516.29175	1.0227948	0.022798257	0.23025	3.0	124.00986647605896
27	683.8571	312.72556	1154.0	330.0	56.42857	37.946796	117.0	26.0	532.8571	133.30307	71.47746	174.32841	-101.20453	112000	-7.522106e-08	2341.1465	-0.015331785	-1395.5974	1.0232104	0.0047329413	0.05325	79.0	127.78856325149536
28	1779.75	7.084314	1787.0	1770.0	1.5	2.598076	6.0	0.0	1000.0	153.35278	23.231909	166.64049	30.233513	116000	8.249283e-08	987.68787	-0.015011675	-938.88586	1.0267713	0.0030268272	0.038	79.0	131.70480108261108
29	1715.5	110.55655	1791.0	1525.0	9.25	14.341809	34.0	0.0	993.0	173.58156	16.781507	176.0419	-48.700096	120000	-2.4497508e-08	900.70514	-0.0116438605	-565.9828	1.0126698	0.006150987	0.0345	79.0	135.51642060279846
30	1786.0	25.700195	1822.0	1750.0	0.0	0.0	0.0	0.0	1000.0	171.82103	11.267752	175.01833	57.584526	124000	5.2958725e-08	170.69635	-0.01528589	-154.51291	1.0417061	0.0039873156	0.04025	79.0	139.52117586135864
31	1764.0	44.536503	1813.0	1697.0	7.25	12.557368	29.0	0.0	1000.0	175.82591	10.17494	178.86824	105.67037	128000	4.172325e-09	129.93546	-0.0029057856	-84.11516	1.0229293	0.015337689	0.18475	2.0	142.65791749954224
32	969.0	533.55444	1799.0	398.0	33.5	17.18284	55.0	1.0	633.5	161.56331	45.52188	177.20221	-35.22054	132000	-6.0200693e-09	3701.2646	-0.014892712	-2814.4646	1.0225221	0.006389841	0.05475	79.0	146.60615849494934
33	1687.75	190.62578	1810.0	1358.0	25.25	38.179672	91.0	0.0	989.25	147.19153	48.529312	173.70558	-46.751766	136000	4.7683715e-09	620.8609	0.00021698244	-432.2555	1.0689279	0.021217493	0.2625	2.0	149.9214804172516
34	1814.75	14.35923	1831.0	1799.0	0.0	0.0	0.0	0.0	1000.0	177.96376	0.7576677	178.14673	166.9243	140000	1.6450883e-08	16.829851	-0.021670902	-9.102371	1.0694999	0.002164644	0.05125	79.0	154.05626463890076
35	1347.4	523.6047	1831.0	476.0	14.2	20.023985	54.0	0.0	787.8	179.8243	5.282537	181.05066	109.782745	144000	-2.3841862e-10	2069.495	-0.011073612	-1001.6311	1.0294496	0.003848439	0.052	79.0	157.96440601348877
36	1717.75	180.8817	1836.0	1405.0	1.0	1.7320508	4.0	0.0	957.25	162.02954	27.832468	173.10321	-19.500772	148000	-2.7179718e-08	1494.4058	-0.014553271	-1041.7131	1.042373	0.0043000984	0.041	79.0	161.75234508514404
37	1827.5	7.228416	1835.0	1816.0	0.0	0.0	0.0	0.0	1000.0	177.17267	2.4815652	178.27985	143.02896	152000	1.0538101e-07	38.6692	-0.01969624	-30.73406	1.0246962	0.004693234	0.045	79.0	224.38881587982178
38	1408.75	453.80963	1867.0	801.0	33.0	34.452866	80.0	0.0	842.25	173.07213	38.34457	182.62138	-42.865414	156000	-8.583069e-09	1434.436	-0.0112752	-1283.0844	0.9927768	0.0017550827	0.0455	79.0	228.17783212661743
39	1546.25	504.90463	1862.0	673.0	8.25	9.120718	22.0	0.0	859.0	171.42844	26.480589	183.3662	6.352723	160000	4.2915342e-09	1751.4451	-0.008272294	-854.843	1.0013638	0.0140197845	0.1465	5.0	231.17975687980652
40	1357.8	617.0058	1880.0	498.0	13.0	16.174053	37.0	0.0	773.2	172.12357	27.095734	180.63754	-20.493332	164000	-2.2411346e-08	1173.3732	-0.016175445	-827.37683	1.0013046	0.0038566254	0.02925	79.0	234.94000816345215
41	1841.25	17.767597	1860.0	1823.0	0.75	1.299038	3.0	0.0	1000.0	178.46223	7.6180096	183.78737	125.7611	168000	-3.2782552e-08	65.05124	-0.017661769	-46.503807	1.0169306	0.003660362	0.05525	79.0	238.87170815467834
42	1715.5	237.80086	1867.0	1304.0	11.25	19.48557	45.0	0.0	955.25	180.8434	18.764713	184.95976	-8.600208	172000	5.0157308e-08	854.3639	-0.014302013	-758.3972	0.9954921	0.0023138802	0.03275	79.0	242.7301754951477
43	1864.25	13.311179	1880.0	1844.0	0.0	0.0	0.0	0.0	1000.0	183.03108	5.4941773	184.94038	127.43753	176000	1.4066696e-08	43.895206	-0.012733559	-37.408012	1.0071812	0.005455911	0.037	79.0	246.57179927825928
44	1864.75	12.275484	1878.0	1846.0	0.0	0.0	0.0	0.0	1000.0	186.12918	2.3410718	186.86847	153.09961	180000	1.8775463e-08	13.4850855	-0.014595622	-6.0939946	0.9916098	0.006384977	0.047	79.0	250.57424974441528
45	1870.25	4.2646804	1876.0	1864.0	0.0	0.0	0.0	0.0	1000.0	186.2697	1.27521	186.84529	176.32237	184000	1.0550022e-08	6.5537505	-0.013928058	-0.43334055	0.95835984	0.0052374275	0.0405	79.0	254.35846996307373
46	1881.25	10.280442	1890.0	1864.0	0.0	0.0	0.0	0.0	1000.0	186.81155	0.72442055	187.14677	180.70145	188000	2.4080276e-08	6.0365963	-0.019059502	-1.6146784	0.94256204	0.005303297	0.0515	79.0	258.170462846756
47	1895.75	8.870598	1904.0	1881.0	0.0	0.0	0.0	0.0	1000.0	188.13841	0.45857474	188.2735	179.4231	192000	-1.3589859e-08	5.698214	-0.012859396	-1.567348	0.9213265	0.0029748555	0.03125	79.0	262.0085322856903
48	1896.0	8.746428	1908.0	1885.0	0.0	0.0	0.0	0.0	1000.0	189.42403	0.3663047	189.49657	179.0426	196000	1.1682511e-08	3.1688173	-0.013488428	-0.027138948	0.9068051	0.00580957	0.028	79.0	265.79916524887085
49	1900.5	12.658989	1915.0	1886.0	0.0	0.0	0.0	0.0	1000.0	189.4889	0.3953929	189.58803	185.06236	200000	1.1920931e-10	6.1081886	-0.016037866	-0.29950428	0.8940524	0.0085523855	0.0475	79.0	336.5005464553833
50	1515.5	685.61523	1916.0	328.0	1.0	1.2247449	3.0	0.0	806.75	189.3581	6.077959	190.07993	59.720516	204000	1.1861324e-08	839.01373	-0.0070759365	-530.5958	0.89782816	0.015372549	0.171	3.0	339.4448778629303
